page,title,link,votes,answers,views,tags
1,"If LLMs like OpenAI / DeepSeek / Gemini exist, why do we still need ML or NLP libraries, now and in the future?",https://ai.stackexchange.com/questions/49110/if-llms-like-openai-deepseek-gemini-exist-why-do-we-still-need-ml-or-nlp-li,0,2,24,"natural-language-processing, pytorch, large-language-models, scikit-learn, spacy"
1,Most efficient way to put together different input to nodes to have better results,https://ai.stackexchange.com/questions/49109/most-efficient-way-to-put-together-different-input-to-nodes-to-have-better-resul,0,1,19,"neural-networks, training, input-layer"
1,Why do AI language models overuse em dashes compared to human writers?,https://ai.stackexchange.com/questions/49107/why-do-ai-language-models-overuse-em-dashes-compared-to-human-writers,1,1,33,"large-language-models, training-datasets, text-generation"
1,Beyond DPI: Can Reference-Free LLM Judge Certification Mechanisms Achieve Incentive Compatibility Without Relying on Shared Mutual Information?,https://ai.stackexchange.com/questions/49106/beyond-dpi-can-reference-free-llm-judge-certification-mechanisms-achieve-incent,0,0,13,"machine-learning, information-theory, mechanism-design, scalable-oversight, mutual-information"
1,Open AI Electricity Requirement Matrix Multiplication,https://ai.stackexchange.com/questions/49104/open-ai-electricity-requirement-matrix-multiplication,0,1,36,"open-ai, gpu, linear-algebra, hardware"
1,Could you suggest literature or conceptual approaches for fusing any two arbitrary input representations in DRL?,https://ai.stackexchange.com/questions/49102/could-you-suggest-literature-or-conceptual-approaches-for-fusing-any-two-arbitra,0,0,23,"neural-networks, reinforcement-learning, deep-rl, reference-request, algorithm-request"
1,How to create FREE RAG with out put same as Claude or near to it,https://ai.stackexchange.com/questions/49101/how-to-create-free-rag-with-out-put-same-as-claude-or-near-to-it,-1,1,23,"agi, intelligent-agent"
1,How to infer probability if training with logits?,https://ai.stackexchange.com/questions/49093/how-to-infer-probability-if-training-with-logits,0,1,48,"neural-networks, machine-learning, training, inference"
1,Basic Actor Critic TD0 correct gradient flow defies logic [closed],https://ai.stackexchange.com/questions/49091/basic-actor-critic-td0-correct-gradient-flow-defies-logic,0,0,39,"pytorch, actor-critic-methods, gradient, bootstrapping"
1,Why can’t an artificial neural network figure out what a lava lamp will do next?,https://ai.stackexchange.com/questions/49084/why-can-t-an-artificial-neural-network-figure-out-what-a-lava-lamp-will-do-next,8,6,3k,"neural-networks, machine-learning, prediction"
1,Finding the right setup for a local LLM for big contexts [closed],https://ai.stackexchange.com/questions/49080/finding-the-right-setup-for-a-local-llm-for-big-contexts,0,1,52,large-language-models
1,How does the Bellman equation handle a scenario like this?,https://ai.stackexchange.com/questions/49077/how-does-the-bellman-equation-handle-a-scenario-like-this,0,1,54,bellman-equations
1,RAG on legal documents: Is JSON preprocessing necessary before chunking?,https://ai.stackexchange.com/questions/49076/rag-on-legal-documents-is-json-preprocessing-necessary-before-chunking,0,0,32,implementation
1,Why are LLMs for coding not more focused?,https://ai.stackexchange.com/questions/49074/why-are-llms-for-coding-not-more-focused,2,2,84,large-language-models
1,Why does ChatGPT go on unending rambles when asking it certain prompts?,https://ai.stackexchange.com/questions/49067/why-does-chatgpt-go-on-unending-rambles-when-asking-it-certain-prompts,0,1,103,chatgpt
